Sigla,Código,Município,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
RO,1100148,Nova Brasilândia D'Oeste,2,,,,,,,1,1,3,9,4,7,2,1,2,3,2,3,4,8,2,9,5,11,3,6,8,2
RO,1100155,Ouro Preto do Oeste,29,21,16,13,8,8,18,14,8,8,14,7,7,11,10,11,6,9,15,5,14,4,12,3,9,3,7,6,9
RO,1100189,Pimenta Bueno,8,12,12,16,13,4,5,8,7,9,13,7,7,8,12,9,1,10,8,7,7,6,10,11,14,8,6,9,8
RO,1100205,Porto Velho,127,120,121,72,97,115,214,172,204,229,220,178,242,203,236,173,145,160,203,167,184,183,178,208,225,184,165,145,168
RO,1100254,Presidente Médici,2,5,4,6,4,4,1,4,2,5,6,1,8,7,4,3,4,2,1,5,1,1,7,1,2,2,3,2,6
RO,1100262,Rio Crespo,1,,,,2,,,3,,3,2,2,1,1,1,1,,1,5,2,2,1,,1,,,1,,3
RO,1100288,Rolim de Moura,13,8,8,,5,8,10,8,9,10,15,8,6,5,7,3,4,8,9,4,10,11,20,8,13,13,9,11,14
RO,1100296,Santa Luzia D'Oeste,,3,2,6,2,2,1,2,2,1,2,1,2,3,,,,,,,1,1,1,,,3,,2,3
RO,1100304,Vilhena,10,20,16,24,15,12,12,19,19,18,14,18,14,19,19,13,22,23,26,14,23,20,35,54,59,34,45,32,40
RO,1100320,São Miguel do Guaporé,1,1,,,,1,5,3,7,6,8,6,4,1,6,2,1,6,5,2,4,4,6,5,5,9,4,6,5
RO,1100338,Nova Mamoré,4,2,1,3,2,3,,3,2,2,8,5,10,9,10,13,14,11,15,15,6,6,10,7,9,7,9,14,3
RO,1100346,Alvorada D'Oeste,1,3,9,2,3,4,1,6,3,3,6,3,3,1,1,3,1,3,2,2,1,2,1,2,3,,1,1,5
RO,1100379,Alto Alegre dos Parecis,,,,,,,,,,2,6,6,2,4,4,4,,,6,3,3,3,,5,2,2,4,6,1
RO,1100403,Alto Paraíso,,,4,2,3,5,3,3,2,5,5,9,2,8,7,8,9,11,13,10,2,14,7,6,10,11,8,4,2
RO,1100452,Buritis,,,,,,8,11,8,9,26,28,31,13,34,17,18,19,21,27,17,27,17,8,29,32,18,12,16,5
RO,1100502,Novo Horizonte do Oeste,,,1,,1,1,1,2,,1,,,2,2,,,1,1,1,,,,1,3,1,1,1,,1
RO,1100601,Cacaulândia,1,,,2,2,,,1,2,2,3,3,3,2,2,,1,1,1,3,2,1,3,1,1,1,1,2,1
RO,1100700,Campo Novo de Rondônia,1,,5,14,7,2,4,6,15,15,10,3,7,7,5,3,2,11,16,8,11,5,10,3,2,5,4,3,2
RO,1100809,Candeias do Jamari,2,,,,5,,1,4,,,3,3,5,5,7,3,8,9,4,7,15,8,14,16,16,15,9,7,10
RO,1100908,Castanheiras,,,1,,1,,2,,,,,1,1,1,2,,1,,1,1,1,1,1,,,1,,,
RO,1100924,Chupinguaia,,,,,,2,3,4,6,7,8,1,1,8,3,2,4,4,1,1,2,2,3,5,5,5,8,2,1
RO,1100940,Cujubim,,,,,,1,6,2,6,6,3,2,8,5,1,6,8,9,7,2,11,3,5,4,9,6,3,2,7
RO,1101005,Governador Jorge Teixeira,,,2,,,3,,2,3,1,3,5,1,5,1,1,1,,,1,1,2,3,2,7,5,2,1,1
RO,1101104,Itapuã do Oeste,,,,,1,2,1,3,,1,1,2,1,1,3,2,1,,,6,1,3,3,3,7,4,2,2,1
RO,1101203,Ministro Andreazza,,,,,1,1,1,3,2,3,4,4,3,2,1,1,1,5,2,1,2,3,5,7,6,5,2,3,
RO,1101302,Mirante da Serra,,,1,,,,1,2,3,5,2,3,1,5,6,3,3,3,3,4,4,3,,3,3,9,1,5,2
RO,1101401,Monte Negro,,,2,10,5,7,8,6,8,4,10,3,3,4,2,3,2,7,8,14,10,2,10,18,4,8,7,8,11
RO,1101435,Nova União,,,,,,,,,,,1,,3,,3,,1,1,,1,,,2,2,1,1,,,3
RO,1101450,Parecis,,,,,,1,2,,,,2,,2,1,1,,,,1,,1,,2,1,4,1,1,2,2
RO,1101468,Pimenteiras do Oeste,,,,,,1,,1,,1,,,,1,1,,,,,,,2,1,,1,1,,,
RO,1101476,Primavera de Rondônia,,,,,,,1,,,1,,1,1,,2,,,,1,,1,1,2,1,,1,,,1
RO,1101484,São Felipe D'Oeste,,,,,,3,,,1,2,1,1,1,,,,,2,2,,,1,,,1,,,1,1
RO,1101492,São Francisco do Guaporé,,,,,,1,3,8,5,6,12,9,8,2,9,4,6,3,5,,1,4,6,6,1,10,4,2,1
RO,1101500,Seringueiras,,,2,7,2,5,7,4,4,6,3,5,3,3,1,2,2,1,2,3,3,3,1,,,4,1,1,2
RO,1101559,Teixeirópolis,,,,,,,4,,,1,,2,1,,,,,1,,1,2,,1,,2,,,1,2
RO,1101609,Theobroma,,,1,2,1,,7,6,9,4,4,5,1,,1,3,2,3,2,1,,3,2,2,5,1,1,,4
RO,1101708,Urupá,,,1,,,1,7,1,1,4,7,4,5,3,3,3,4,2,3,1,1,2,2,,1,2,1,1,3
RO,1101757,Vale do Anari,,,,,,2,1,4,,3,3,5,3,3,4,2,4,2,5,2,8,2,2,,5,4,2,3,4
RO,1101807,Vale do Paraíso,,,4,4,3,,,,,3,3,4,1,1,2,1,2,2,,,,1,,1,1,1,2,1,4
RR,1400027,Amajari,,,,,,1,2,2,3,,,1,,,2,2,1,4,3,1,4,6,3,3,6,8,4,4,5
RR,1400050,Alto Alegre,3,4,2,7,2,2,3,28,12,8,7,2,3,4,22,7,1,10,4,7,13,30,13,22,16,35,33,20,22
RR,1400100,Boa Vista,64,56,63,70,83,55,84,86,81,67,82,81,60,59,56,65,65,72,82,54,82,125,81,120,118,149,270,150,151
RR,1400159,Bonfim,9,3,3,1,7,4,8,1,4,1,3,3,3,2,4,4,3,3,2,2,,1,1,4,3,1,7,5,4
RR,1400175,Cantá,,,,,,5,7,8,6,4,4,1,1,2,3,3,6,1,3,4,3,5,9,6,8,5,13,6,11
RR,1400209,Caracaraí,1,1,3,3,6,8,9,17,4,8,5,4,2,4,7,10,10,11,5,7,17,25,18,21,23,12,23,17,20
RR,1400233,Caroebe,,,,,,3,2,,,1,1,2,2,1,,4,3,3,2,2,2,1,2,4,3,1,4,2,3
RR,1400282,Iracema,,,,,,,,2,2,1,1,1,1,3,1,2,3,1,2,1,1,3,13,6,4,3,6,4,5
RR,1400308,Mucajaí,9,6,5,4,5,4,11,3,6,10,10,6,6,6,4,6,4,5,5,6,5,5,8,7,7,12,17,9,4
RR,1400407,Normandia,4,,,,2,,,2,2,,1,1,,4,,1,,,,1,1,1,,1,2,1,1,2,1
RR,1400456,Pacaraima,,,,,,1,2,,2,,2,,2,,2,2,2,2,1,3,2,2,3,1,,2,2,4,4
RR,1400472,Rorainópolis,,,,,,2,1,2,1,4,5,2,4,10,6,7,3,2,8,4,11,5,5,6,11,15,19,6,4
RR,1400506,São João da Baliza,4,,1,1,,3,3,,1,,,,,2,2,1,1,1,1,,2,4,1,,1,2,9,3,1
RR,1400605,São Luiz,,2,1,2,2,1,,2,,3,,2,1,,1,2,,3,2,1,1,1,1,1,1,2,5,2,1
RR,1400704,Uiramutã,,,,,,1,,1,4,,,,,1,,,1,,1,1,,,,1,1,,1,,1
RS,4300034,Aceguá,,,,,,,,,,,1,1,1,,,1,1,,,,,1,,,1,,,,1
RS,4300059,Água Santa,,,,,,1,,,,,,,1,,,1,,,,,1,,,,,,,,
RS,4300109,Agudo,,,,,2,2,,2,2,2,1,1,1,4,1,2,,,1,,3,,1,,1,,2,,2
RS,4300208,Ajuricaba,1,,1,1,1,1,,1,,,,,,2,,,,,,,,1,,,1,,1,,
RS,4300307,Alecrim,4,3,1,1,1,1,,,,1,,,3,,,1,2,,,1,,2,,1,2,1,1,1,2
RS,4300406,Alegrete,9,11,13,9,9,13,12,17,15,16,28,15,12,17,19,11,9,7,7,10,11,12,10,9,9,24,16,6,11
RS,4300455,Alegria,,,1,2,,,1,1,,2,1,,,1,,3,,1,2,,,,,,,,,,
RS,4300471,Almirante Tamandaré do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
RS,4300505,Alpestre,3,3,1,7,1,3,,3,3,5,1,,,2,3,1,3,,5,,5,1,2,,2,,1,2,1
RS,4300554,Alto Alegre,,,,,3,,,,,,,,,,1,,,,,,,,,,,2,,,
RS,4300570,Alto Feliz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,4300604,Alvorada,40,40,30,51,41,36,35,41,43,60,72,99,121,99,74,131,120,107,109,132,169,119,171,162,147,233,161,110,124
RS,4300638,Amaral Ferrador,,,,1,,,2,1,,,,1,,1,,2,,,1,2,1,1,2,1,,,1,1,7
RS,4300646,Ametista do Sul,,1,,,,1,3,,4,,2,4,2,1,3,4,1,1,3,1,1,1,1,1,2,,1,2,1
RS,4300661,André da Rocha,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,
RS,4300703,Anta Gorda,,,,1,,,2,,,,,2,,1,,,,,1,1,,,,,,1,,1,
RS,4300802,Antônio Prado,1,,,2,,3,,,,1,,,,2,1,,1,,1,1,,,,,,2,1,,2
RS,4300851,Arambaré,,,,,2,,,,,,,,,1,,,,1,,,,1,1,,,,2,1,
RS,4300877,Araricá,,,,,,,1,,,,,,,,,,2,,,1,,1,,2,,,,,2
RS,4300901,Aratiba,1,,,,,1,,,,,1,,,,,,1,,,,2,,,,1,,1,,1
RS,4301008,Arroio do Meio,,,,,1,1,,,,1,1,5,1,2,2,,1,1,2,2,2,2,3,4,3,5,2,1,1
RS,4301057,Arroio do Sal,,,,,,,,,,1,1,,,1,1,2,1,,1,2,1,3,1,1,4,3,3,2,2
RS,4301073,Arroio do Padre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,4301107,Arroio dos Ratos,,3,1,1,2,1,2,3,3,1,2,1,,1,1,,3,5,1,2,2,2,1,3,3,4,3,,1
RS,4301206,Arroio do Tigre,2,,,,1,2,,,4,,,1,1,1,3,2,1,2,,7,1,,1,1,2,,,2,4
RS,4301305,Arroio Grande,,2,,,,,1,,1,1,2,4,3,,1,2,,,2,2,1,,,2,1,4,2,1,2
RS,4301404,Arvorezinha,4,1,1,2,1,1,2,5,2,1,,2,2,7,3,2,,,2,,,2,2,,,1,2,1,
RS,4301503,Augusto Pestana,2,,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,
RS,4301552,Áurea,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
RS,4301602,Bagé,20,18,20,8,10,9,12,15,12,17,24,24,11,16,12,11,16,17,12,15,4,11,11,11,17,22,17,14,12
RS,4301636,Balneário Pinhal,,,,,,,,2,,2,4,3,1,4,,3,6,3,2,3,2,4,4,5,9,12,6,6,2
RS,4301651,Barão,,,,,,1,,,1,,,,,,,,,1,,1,,,2,,,,,,
RS,4301701,Barão de Cotegipe,,,1,,,,,,,,,,,,,1,,1,,,1,,,1,,,,,1
RS,4301750,Barão do Triunfo,,,,,,1,,,,,,,1,2,1,,2,2,2,1,1,,1,1,2,1,,,1
RS,4301800,Barracão,,,1,2,5,,,1,,,,,2,,,1,2,1,,,,,4,,1,,,,2
RS,4301859,Barra do Guarita,,,1,,,,,,1,,,1,1,2,,,3,,,,1,1,2,,2,,1,2,1
RS,4301875,Barra do Quaraí,,,,,,,1,,1,,,1,,1,1,,,,,,,,,,1,,1,,
RS,4301909,Barra do Ribeiro,1,,,1,1,1,2,2,1,,,,2,2,1,1,4,1,1,,3,3,1,3,4,3,3,2,7
RS,4301925,Barra do Rio Azul,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
RS,4301958,Barra Funda,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,
RS,4302006,Barros Cassal,2,3,1,2,,2,3,4,1,2,2,7,7,3,1,2,3,2,4,4,4,2,1,,1,3,1,1,3
RS,4302055,Benjamin Constant do Sul,,,,,,,,,,,,,1,,2,,,1,,,,,,,1,,2,1,
RS,4302105,Bento Gonçalves,9,10,18,8,10,9,10,7,5,13,8,7,9,14,14,13,11,19,17,15,16,21,22,23,34,39,48,47,29
RS,4302154,Boa Vista das Missões,,,1,,2,,,,,1,,,,,,,1,,,,,,,,1,,,1,
RS,4302204,Boa Vista do Buricá,,,1,,,,1,,,,1,,,1,,,,,,,,,1,,,1,,1,
RS,4302220,Boa Vista do Cadeado,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
RS,4302238,Boa Vista do Incra,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
RS,4302253,Boa Vista do Sul,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
RS,4302303,Bom Jesus,2,3,,2,1,2,1,2,3,2,1,3,1,4,2,4,3,2,2,2,1,,,,5,,4,7,4
RS,4302352,Bom Princípio,,,,1,,,2,,1,2,,2,1,1,,1,,1,1,,,2,,,3,,1,1,
RS,4302378,Bom Progresso,,,,,,,,,,,,,,,,,,1,1,,1,,2,,,,,1,
RS,4302402,Bom Retiro do Sul,1,1,1,2,,,,1,,,,2,1,1,,,1,1,,,1,1,,2,4,1,,3,2
RS,4302451,Boqueirão do Leão,,,1,,,,1,,1,2,2,,,,,1,,2,,,,,1,,,2,4,,
RS,4302501,Bossoroca,,1,,,,1,3,,1,2,2,3,2,1,3,2,1,,,1,,,,2,,2,1,3,1
RS,4302584,Bozano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,4302600,Braga,1,1,1,1,,,,,1,1,,1,2,2,,,1,1,1,1,,4,1,1,,,,1,
RS,4302659,Brochier,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1
RS,4302709,Butiá,2,,2,,,5,1,,3,3,3,3,2,1,2,4,3,5,2,3,6,7,3,6,3,5,17,8,9
RS,4302808,Caçapava do Sul,1,1,6,5,1,4,2,3,,4,2,3,1,1,2,4,4,5,1,4,11,4,3,4,8,4,7,6,5
RS,4302907,Cacequi,,2,1,1,2,1,1,,1,2,1,,1,2,5,1,1,3,1,3,2,,,2,4,5,3,,1
RS,4303004,Cachoeira do Sul,11,10,10,4,15,7,9,6,7,8,12,9,9,6,8,4,4,3,10,6,4,8,8,8,15,10,3,7,4
RS,4303103,Cachoeirinha,22,12,13,9,10,25,17,20,28,24,29,30,39,38,31,50,39,46,21,31,28,31,41,55,45,54,39,32,25
RS,4303202,Cacique Doble,2,,,,,,,,,,,1,,,1,1,1,,,,,,,2,,1,,,1
RS,4303301,Caibaté,,,,,,1,,,,,,,,,1,,1,1,,1,,,1,,1,1,,1,
RS,4303400,Caiçara,1,,,,,,,,,,,,,1,1,,,,2,1,2,,,,,,1,1,
RS,4303509,Camaquã,7,7,6,5,7,13,9,2,5,2,9,5,6,8,6,4,5,10,7,8,6,6,7,7,7,5,5,8,11
RS,4303558,Camargo,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,1,,
RS,4303608,Cambará do Sul,2,,,2,1,2,,,,,,3,1,3,,,2,,,1,,,2,,3,,,1,
RS,4303673,Campestre da Serra,,,,,,,,,,,2,2,,,,,,,,,,,,2,1,,1,,
RS,4303707,Campina das Missões,,1,,,,,,,,,1,,,1,,,2,1,,,1,,1,,1,,,1,1
RS,4303806,Campinas do Sul,,,2,,1,,,1,,,,,,3,,1,,,,,,,,1,,,1,,
RS,4303905,Campo Bom,2,5,6,3,3,11,8,4,3,5,7,7,8,6,7,6,6,8,9,7,10,10,7,15,15,11,3,13,10
RS,4304002,Campo Novo,1,1,1,2,1,,1,1,,2,2,3,4,2,1,,1,3,,,1,,1,,,3,,,
RS,4304101,Campos Borges,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,2
RS,4304200,Candelária,6,4,3,1,3,1,8,10,3,6,6,7,5,5,3,9,3,8,7,13,8,9,9,12,13,13,9,9,6
RS,4304309,Cândido Godói,,1,,1,,,,,,,,,,,,,1,,1,,,1,,,,,,,
RS,4304358,Candiota,,,,,,,,1,3,,2,1,1,1,3,,2,2,,1,1,,1,1,3,1,3,,1
RS,4304408,Canela,3,3,2,5,4,4,4,4,6,9,5,1,3,5,5,4,4,1,7,8,1,5,5,9,5,8,6,14,12
RS,4304507,Canguçu,1,4,4,4,1,3,3,1,1,2,3,5,1,1,3,6,3,1,4,5,4,4,1,6,5,3,2,9,7
RS,4304606,Canoas,75,33,61,70,80,74,61,55,67,87,85,114,92,124,99,105,134,150,124,114,153,123,152,156,152,159,147,85,58
RS,4304614,Canudos do Vale,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,
RS,4304622,Capão Bonito do Sul,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,,,
RS,4304630,Capão da Canoa,1,2,4,,,5,1,3,4,3,6,6,3,9,14,12,10,21,15,15,19,16,15,14,25,22,23,21,6
RS,4304655,Capão do Cipó,,,,,,,,,,,,2,1,,,,,1,,,,,,,1,2,,,
RS,4304663,Capão do Leão,,,,,,,2,2,,2,2,3,6,6,2,,4,1,2,2,2,5,3,7,5,9,8,8,7
RS,4304671,Capivari do Sul,,,,,,,,1,,,1,,,,,1,1,,,2,1,,1,,1,2,,1,
RS,4304689,Capela de Santana,,,,1,2,1,,,,2,2,3,2,2,2,,1,2,,1,2,4,,2,,5,3,3,4
RS,4304697,Capitão,,1,,1,,,,,,,,,1,2,,1,,,,,,,,,,,,,
RS,4304705,Carazinho,8,12,5,14,10,6,3,11,6,3,7,8,4,7,9,9,9,4,12,10,19,9,9,26,30,22,9,12,20
RS,4304713,Caraá,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,2,2,
RS,4304804,Carlos Barbosa,1,,1,,4,1,1,1,3,2,1,1,2,1,1,1,,2,,,,2,2,1,1,3,1,3,
RS,4304853,Carlos Gomes,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
RS,4304903,Casca,1,,,,,,,,,,,,,2,3,1,,,,,,,1,1,,,,1,3
RS,4304952,Caseiros,,1,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,1,
RS,4305009,Catuípe,3,1,1,3,1,,2,1,,,1,1,1,,2,,,,1,,,1,,1,1,4,,2,1
RS,4305108,Caxias do Sul,79,86,64,90,53,68,85,72,56,95,65,71,88,92,119,103,95,104,127,105,126,99,103,115,157,129,108,86,110
RS,4305116,Centenário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,4305124,Cerrito,,,,,,,,,,,,2,1,,1,1,2,1,1,1,,2,,,2,2,,,
RS,4305132,Cerro Branco,,,,,,,1,,,,,1,,,1,,,,1,,,,1,1,,,,,
RS,4305157,Cerro Grande,,1,,2,1,,,,,,,,1,,1,,1,1,1,,,1,1,,,,,2,
RS,4305173,Cerro Grande do Sul,1,1,,3,2,1,2,1,,,1,1,6,3,3,,2,4,1,5,,2,2,2,3,,5,1,1
RS,4305207,Cerro Largo,4,1,2,3,,3,4,2,1,,2,1,2,,1,,1,,,1,2,,1,,,1,,4,2
RS,4305306,Chapada,,,,,,1,,,,,,1,,,,1,1,,2,,1,,,,,1,,,
RS,4305355,Charqueadas,3,4,3,2,3,1,3,1,2,3,3,3,2,1,6,2,2,2,3,3,5,4,2,5,3,5,7,4,3
RS,4305371,Charrua,,,,,,,,1,,,,,,,,,1,1,,,,,2,,,1,,,
RS,4305405,Chiapetta,1,2,,,,,,,,,,2,1,,1,,,,,,,,,,,,1,,
RS,4305439,Chuí,,,,,,,,,3,2,1,,,1,2,1,3,1,,,,,2,,1,5,2,3,
RS,4305447,Chuvisca,,,,,,,,,,2,1,,,,,1,,,,1,,,,,,,1,,
RS,4305454,Cidreira,3,3,3,3,3,2,1,1,1,1,5,1,3,1,3,6,4,7,1,2,4,5,2,7,8,7,3,7,8
RS,4305504,Ciríaco,1,,,1,1,,,1,1,3,1,1,1,1,1,1,,2,2,,1,1,,1,,,,,1
RS,4305587,Colinas,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
RS,4305603,Colorado,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,
RS,4305702,Condor,1,,1,,2,,,1,,1,2,,2,1,,1,,,,,,,1,,,1,,1,
RS,4305801,Constantina,,1,,1,,,3,2,,,1,,1,1,1,2,2,2,1,,2,1,1,1,,,2,2,3
RS,4305835,Coqueiro Baixo,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
RS,4305850,Coqueiros do Sul,,,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,,
RS,4305871,Coronel Barros,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
RS,4305900,Coronel Bicaco,,1,2,3,1,,,1,,3,2,3,,5,1,4,,2,2,1,,2,3,1,,1,4,,2
RS,4305934,Coronel Pilar,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
RS,4305959,Cotiporã,,,,,,,,,,,,,,1,,,,2,,,,,1,,,,2,,
RS,4305975,Coxilha,,1,,,,1,,,,,,1,,,1,1,,,,,1,,,,,,,1,
RS,4306007,Crissiumal,2,2,2,,2,,,1,2,1,1,1,,2,1,1,1,2,1,,,1,,1,2,,3,,1
RS,4306056,Cristal,1,,1,1,,,,,,,,,1,3,1,1,,1,1,,2,,1,2,,1,3,,2
RS,4306072,Cristal do Sul,,,,,,1,1,,1,1,1,2,1,,,,,,1,2,,,1,,,,,,1
RS,4306106,Cruz Alta,12,19,16,8,6,15,9,14,8,10,9,10,11,12,9,11,18,15,19,16,8,6,19,19,13,12,17,13,24
RS,4306130,Cruzaltense,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
RS,4306205,Cruzeiro do Sul,1,,1,,2,1,,,2,1,,1,1,1,2,,1,1,,,,,2,1,3,3,5,1,5
RS,4306304,David Canabarro,,,,,,,,,,,,1,,,,,,1,,,1,,,,1,,,,
RS,4306320,Derrubadas,,2,1,,,,,,,1,,1,1,,,1,1,1,1,1,1,,1,,2,,,,2
RS,4306353,Dezesseis de Novembro,1,,,1,1,,1,2,,1,,3,1,1,1,1,,,,1,,,1,1,,,3,2,
RS,4306379,Dilermando de Aguiar,,,,,,1,,,,,,,,,,2,2,,,,,1,,1,,,,,1
RS,4306403,Dois Irmãos,5,1,3,4,,3,1,3,,1,6,1,2,2,3,1,2,3,2,,1,3,,1,2,,1,1,
RS,4306429,Dois Irmãos das Missões,,,1,,,2,,,,,,1,1,,,1,,,,,,1,,,,,,,
RS,4306452,Dois Lajeados,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1
RS,4306502,Dom Feliciano,2,1,,2,1,1,,2,,,1,1,2,3,3,2,4,1,,3,1,3,1,4,1,2,1,,4
RS,4306551,Dom Pedro de Alcântara,,,,,,,,,,,,,1,,,,,1,2,,,,,,1,,,,
RS,4306601,Dom Pedrito,10,1,8,3,4,2,2,3,5,8,7,5,7,8,4,5,5,9,11,2,4,8,1,4,8,9,3,8,8
RS,4306700,Dona Francisca,1,,,1,,1,1,,,,1,,1,,1,,,,1,,,,1,,,2,,,
RS,4306734,Doutor Maurício Cardoso,,1,,1,1,2,2,,2,,,,,,,,,,,1,,,1,,,1,,,
RS,4306759,Doutor Ricardo,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
RS,4306767,Eldorado do Sul,2,2,3,1,5,2,,3,1,5,4,7,8,7,12,11,13,9,7,9,10,12,21,12,30,24,18,7,7
RS,4306809,Encantado,,,,2,,,,,,,1,3,,1,3,2,3,,1,3,2,2,8,2,10,5,3,6,4
RS,4306908,Encruzilhada do Sul,1,2,2,1,4,3,4,5,2,5,1,1,2,3,3,5,3,7,6,5,4,6,3,5,13,5,11,9,6
RS,4306924,Engenho Velho,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
RS,4306932,Entre-Ijuís,,,,1,,,3,2,,1,,,1,2,2,1,1,,,1,4,,1,2,3,1,1,,1
RS,4306957,Entre Rios do Sul,1,,,,1,2,,,1,,1,1,1,3,1,2,2,1,1,1,1,1,,1,2,2,,1,1
RS,4306973,Erebango,,2,,,,,,,2,,,,,,,,3,,,,1,,,,1,,,,
RS,4307005,Erechim,7,3,2,6,3,11,12,10,8,17,25,28,16,11,13,18,19,23,17,18,21,22,17,26,26,19,17,15,19
RS,4307054,Ernestina,,,,,,,1,1,3,,,,1,,,1,1,2,1,,,1,,,2,,,1,
RS,4307104,Herval,,1,,1,,,5,4,1,,2,3,1,,2,,3,,1,,,,,,2,,1,2,
RS,4307203,Erval Grande,,,,,1,1,1,1,,,1,3,2,1,,,1,,1,2,,1,,1,2,2,,3,1
RS,4307302,Erval Seco,1,,3,2,2,2,1,2,1,,1,1,2,4,,,2,2,2,2,1,2,,1,1,2,,1,
RS,4307401,Esmeralda,1,2,3,3,2,2,,1,6,3,,1,,3,,1,1,1,,1,,,,1,,,,,
RS,4307450,Esperança do Sul,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,3,
RS,4307500,Espumoso,3,1,1,,3,,1,1,1,,4,2,,1,,3,1,,,2,1,1,,4,2,,2,4,
RS,4307559,Estação,,1,,,,,2,1,,,,,,,1,4,,,,,2,,,,1,2,1,1,
RS,4307609,Estância Velha,3,4,2,1,3,4,1,4,2,7,3,5,10,9,3,6,3,3,3,3,4,5,11,7,4,7,8,8,7
RS,4307708,Esteio,17,9,15,18,16,12,18,13,16,15,19,22,19,29,23,18,37,34,25,15,21,27,28,25,34,44,22,18,16
RS,4307807,Estrela,4,,2,3,2,5,5,7,4,3,5,2,3,4,1,3,3,2,,1,5,1,3,8,5,14,13,11,7
RS,4307815,Estrela Velha,,,,,,,,,,1,2,,,,1,2,1,,2,1,,1,,,,,,,1
RS,4307831,Eugênio de Castro,,,1,,,,,,,2,,,,,,1,1,,,,1,1,,1,,,1,,
RS,4307864,Fagundes Varela,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,
RS,4307906,Farroupilha,8,8,2,16,10,14,8,3,8,11,8,6,5,6,5,3,5,12,9,9,8,10,5,16,15,10,9,23,20
RS,4308003,Faxinal do Soturno,1,,1,,,2,1,1,,1,1,,1,,1,,,,1,1,1,,,,,2,,1,
RS,4308052,Faxinalzinho,,1,,,,1,1,,,3,,3,,1,,3,,1,,,2,,1,,,1,1,,
RS,4308078,Fazenda Vilanova,,,,,,,,1,,,1,,,,,,,,1,1,,,1,,,1,1,2,1
RS,4308102,Feliz,2,,,1,,,1,,,1,1,,,1,1,1,,1,,1,2,1,,1,,,,,1
RS,4308201,Flores da Cunha,1,4,3,,2,2,,7,,3,2,2,5,1,2,2,1,2,3,5,2,2,4,6,4,2,6,1,7
RS,4308250,Floriano Peixoto,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
RS,4308300,Fontoura Xavier,8,3,2,1,3,1,3,3,2,5,1,1,1,3,2,3,3,1,5,,3,1,1,2,3,1,3,5,5
RS,4308409,Formigueiro,,,,1,1,,,,1,1,,1,2,,1,1,3,,,1,,1,,,1,,,,
RS,4308433,Forquetinha,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,
RS,4308458,Fortaleza dos Valos,,,,,,,,,,,,,,2,,,,,,1,1,,,,,1,,,
RS,4308508,Frederico Westphalen,2,5,8,8,8,6,4,7,4,6,7,4,6,13,10,8,5,4,6,4,1,5,4,4,4,10,9,7,6
RS,4308607,Garibaldi,1,,1,1,1,1,,3,4,,2,1,2,5,1,1,3,3,1,1,2,4,3,1,2,7,3,8,7
RS,4308656,Garruchos,,,,,,,,,3,1,1,1,,,,1,,,,1,1,,1,,,,1,,
RS,4308706,Gaurama,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,
RS,4308805,General Câmara,1,,1,2,1,3,1,,,,,1,4,,,,2,,1,1,1,1,,,2,,1,,
RS,4308854,Gentil,,,,,,,1,,,,,,,,,,,,,1,2,,,1,,,,,1
